company,title,location,link,job_posted,category,source,description
Süddeutsche Zeitung Digitale Medien GmbH,Werkstudent (m/w/d) Data Science,"München, München (Kreis)",https://www.adzuna.de/land/ad/4559596995?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=ADC006074B0F5E8337561ADA77810CA457577A45,2024-02-06,"Tasks Profile We offer The Süddeutsche Zeitung Digitale Medien GmbH, a company of the Südwestdeutsche Medienholding (SWMH), is looking for a working student (m/f/d) Data Science as soon as possible Who we are The Süddeutsche Zeitung Digitale Medien GmbH (SZDM) is the digital Creative center of the Süddeutsche Zeitung. Simply know more faster: The technical, design and editorial production of all digital products of the Süddeutsche Zeitung is the main task of the SZ...",Other/General Positions,Afternoon
Hoffmann Group,Data Science Product Manager (m/f/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4546865990?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=33020AE00E1E99A5EB1415D06A0C17074E79980B,2024-01-27,"More than 4,000 highly motivated employees in over 50 countries have made the Hoffmann Group through their performance into Europe's leading partner for quality tools, factory equipment and personal protective equipment and ""Germany's Best Employer 2023"" with a very high level of attractiveness (awarded by DIE WELT). Our healthy growth is reflected, among other things, in a global annual turnover of more than 1.5 billion euros in 2023. As a family business, we offer a working environment charac…",Positions in science and quality assurance,Afternoon
ProSiebenSat.1 Careers,Intern Data Science & AI (m/f/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4548461379?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=6D18F307AB9C913FCD8322B8C057BD0D70C23049,2024-01-29,"Let's CreateMomentsThatMatter together ProSiebenSat.1 is the home of popular entertainment as well as infotainment and a leading entertainment and commerce player in the German-speaking region. Our Entertainment portfolio is complemented by digital consumer brands in the Commerce & Ventures and Dating & Video segments. Behind ProSiebenSat.1 there are around 7,000 employees, who inspire our audience and customers with great passion day by day. Success stories start here. Yours too? Let's CreateM…",Positions in science and quality assurance,Afternoon
Schleich GmbH,Working Student Data Science / Computer Science (all genders),"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4569538595?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=62153FA2074CDB8E19BF1A0522CF4A3CA18157E0,2024-02-15,"The following adventures await you at Schleich: Collecting and organizing data from various sources and ensuring that the data is clean and correct. Helping users clarify problems and doubts regarding the data. Helping to identify trends and patterns in data sets Capturing requirements and business needs for reporting Creating visualizations (charts, graphs) to share insights (in Power BI)…",IT-Stellen,Afternoon
Publicis Sapient,Manager Data Science - German speaker,"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4563952427?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=04B159A3222721FC52D83F69FF628F97A98BD08F,2024-02-09,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of business intelligence, advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for Data Science work, focusing on how the customer experience and understanding can be improved to ultimately help our client's business growth. As an evangelist for Analytics, you will partner with leaders in various divi…",Positions for university graduates,Afternoon
Publicis Sapient,Senior Associate Data Science - German speaking,"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4563952398?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=A622BC8F1FEBCDC8C4C2DB429FA7B7B0FDA1C9D4,2024-02-09,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Positions for university graduates,Afternoon
Telefónica Deutschland,Dual study program in Data Science and Scientific Computing (B.Sc.) in Munich (m/f/d),"Moosach, München",https://www.adzuna.de/land/ad/4553518727?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=B5D03B77A513CC8CD2FAF1ED5EB08387521F5768,2024-02-01,"Who we are We are O2 Telefónica – with our mobile phone brands we connect millions of people and offer our customers mobile freedom in the digital world. In addition, as a leading telecommunications provider, we play a key role in shaping digitalization in Germany. Our approximately 7,400 employees in this country are driving the transformation forward every day - including in our own company. Telefónica is one of the top employers in Germany and is...",Positions for university graduates,Afternoon
Fraunhofer-Institut für Integrierte Schaltungen IIS,Group leader for Data Efficient Automated Learning – Research Institute,"München, München (Kreis)",https://www.adzuna.de/land/ad/4567936703?se=shfyT6DM7hG0aOMNCeDYeg&utm_medium=api&utm_source=16b1dafa&v=97C78275D8093C39C27253023DFC9C9B65BF6B4F,2024-02-14,"The Fraunhofer-Gesellschaft currently operates 76 institutes and research facilities in Germany and is the world's leading organization for application-oriented research. Around 30,800 employees work on an annual research volume of 3.0 billion euros. The Fraunhofer IIS Working Group for Supply Chain Services uses data to optimize organizations, their processes, business models and strategies. To do this, it combines economic methods and technological…",Advisory positions,Afternoon
MTU Aero Engines AG,Werkstudent Data Science / Data Engineering (all genders),"München, München (Kreis)",https://www.adzuna.de/details/4540761381?utm_medium=api&utm_source=16b1dafa,2024-01-23,"UPLIFTYOURFUTURE We are over 11,000. At 18 locations worldwide. Every third aircraft flies with our technology. Always more efficient, quieter, more sustainable. We are shaping the future of aviation. What else do we need? She. Our team in Munich is looking for you: Working Student Data Science / Data Engineering (all genders) A variety of different data is generated during the maintenance of aircraft engines. Only when this information has been prepared, checked and compiled can...",Apprenticeships,Afternoon
Celonis,Intern/WS - Product Data Science,"München, München (Kreis)",https://www.adzuna.de/details/4529177922?utm_medium=api&utm_source=16b1dafa,2024-01-17,"We're Celonis, the global leader in process mining technology, and we've delivered enormous value to the world's largest and most esteemed companies. To continue to help organizations uncover hidden business value opportunities, reduce carbon emissions, and radically improve customer service, we need you to join us. The Team: As a member of the Engineering organization, the Product Analytics & Data Sciences team provides analytic support and a strategic perspective to the product and engineerin…",Accounting & finance positions,Afternoon
DEVnet GmbH,Senior Data Analyst (BI & Data Science),"München, München (Kreis)",https://www.adzuna.de/details/4549094349?utm_medium=api&utm_source=16b1dafa,2024-01-29,"What the job offers you Projects in complex data landscapes and structures Changing challenges along digital business processes Developing solutions and advising our customers at eye level Further development of our Data & Analytics topic area Expansion of our customer relationships and support of customer acquisition processes 2 A few key data you should agree with Enjoy organizing, preparing, and analyzing data Confident in creating automated reports and metrics systems Experience developing …",Accounting & finance positions,Afternoon
ARRK Engineering GmbH,Group Leader / Business Manager Machine Learning (m/f/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4537836997?se=rMfpU6DM7hGaHTZo05CN9g&utm_medium=api&utm_source=16b1dafa&v=63D0937400DCF7A81CBFF1777574DE7D05740D31,2024-01-23,"ARRK Engineering is part of the international ARRK group of companies and specializes in product development. Within the ARRK group of companies, we implement product developments from virtual development to prototypes and production in small series. Tasks You are responsible for the strategic expansion of the machine learning area for driver assistance systems. You are responsible for the entrepreneurial responsibility for your own business unit with sales and profit responsibility.",Advisory positions,Afternoon
