company,title,location,link,job_posted,category,source,description
Süddeutsche Zeitung Digitale Medien GmbH,Werkstudent (m/w/d) Data Science,"München, München (Kreis)",https://www.adzuna.de/land/ad/4559596995?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=ADC006074B0F5E8337561ADA77810CA457577A45,2024-02-06 13:44:59+00:00,"Aufgaben Profil Wir bieten Die Süddeutsche Zeitung Digitale Medien GmbH , ein Unternehmen der Südwestdeutschen Medienholding (SWMH), sucht zum nächstmöglichen Zeitpunkt einen Werkstudent (m/w/d) Data Science Wer wir sind Die Süddeutsche Zeitung Digitale Medien GmbH (SZDM) ist das digitale Kreativzentrum der Süddeutschen Zeitung. Einfach schneller mehr wissen: Die technische, gestalterische und redaktionelle Produktion aller digitalen Produkte der Süddeutschen Zeitung ist die Hauptaufgabe der SZ…",Sonstige/Allgemeine Stellen,Adzuna
Technische Universität München ,Professor in Empirical Economics and Data Science,"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4570297796?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=0B1CBE096ADD1A125B800FE928FE67FEC5411A18,2024-02-15 17:42:47+00:00,The Technical University of Munich (TUM) invites applications for the position of Professor in » Empirical Economics and Data Science « W2 (with tenure track to W3) or W3 Associate/Full Professor; to begin as soon as possible. The professorship is endowed by the Dieter Schwarz Foundation and will be located at the TUM Campus in Heilbronn. Scientific environment professorship will be assigned to the TUM School of Management and affiliated with the Department of Economics & Policy. The scientific…,Unknown,Adzuna
O2 Telefónica,Duales Studium Data Science und Scientific Computing (B.Sc.) in München (m/w/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4570047587?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=255A22E120D2D561CB9B3EE836BF739E7E81B121,2024-02-15 13:34:32+00:00,"Vertragsart: Vollzeit, befristet Standort: Telefónica Standort München / Hochschule München oder DHBW Mannheim Eintritt: 01.09.2024 Wer wir sind Wir sind o2 Telefónica – mit unseren Mobilfunkmarken verbinden wir Millionen von Menschen und bieten unserer Kundschaft mobile Freiheit in der digitalen Welt. Darüber hinaus gestalten wir als führender Telekommunikationsanbieter maßgeblich die Digitalisierung in Deutschland mit. Unsere rund 7.400 Mitarbeiter:innen hierzulande treiben die Transformation…",Unknown,Adzuna
Hoffmann Group,Data Science Product Manager (m/f/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4546865990?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=33020AE00E1E99A5EB1415D06A0C17074E79980B,2024-01-27 13:21:18+00:00,"More than 4,000 highly motivated employees in over 50 countries have made the Hoffmann Group through their performance into Europe's leading partner for quality tools, factory equipment and personal protective equipment and ""Germany's Best Employer 2023"" with a very high level of attractiveness (awarded by DIE WELT). Our healthy growth is reflected, among other things, in a global annual turnover of more than 1.5 billion euros in 2023. As a family business, we offer a working environment charac…",Stellen aus Wissenschaft & Qualitätssicherung,Adzuna
ProSiebenSat.1 Careers,Intern Data Science & AI (m/f/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4548461379?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=6D18F307AB9C913FCD8322B8C057BD0D70C23049,2024-01-29 13:19:48+00:00,"Let's CreateMomentsThatMatter together ProSiebenSat.1 is the home of popular entertainment as well as infotainment and a leading entertainment and commerce player in the German-speaking region. Our Entertainment portfolio is complemented by digital consumer brands in the Commerce & Ventures and Dating & Video segments. Behind ProSiebenSat.1 there are around 7,000 employees, who inspire our audience and customers with great passion day by day. Success stories start here. Yours too? Let's CreateM…",Stellen aus Wissenschaft & Qualitätssicherung,Adzuna
Schleich GmbH,Werkstudent Data Science / Informatik (all genders),"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4569538595?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=62153FA2074CDB8E19BF1A0522CF4A3CA18157E0,2024-02-15 03:17:59+00:00,"Folgende Abenteuer warten bei Schleich auf dich: Sammeln und Organisieren von Daten aus verschiedenen Quellen sowie Sicherstellung, dass die Daten sauber und korrekt sind Unterstützung der Nutzer bei der Klärung von Problemen und Zweifeln bzgl. der Daten Unterstützung bei der Erkennung von Trends und Mustern in Datensätzen Erfassen von Anforderungen und Geschäftsbedürfnissen für die Berichterstattung Erstellung von Visualisierungen (Diagramme, Grafiken), um Erkenntnisse zu teilen (in Power BI) …",IT-Stellen,Adzuna
Deloitte,Duales Studium Data Science & Künstliche Intelligenz (B.Sc.) 2024,"München, München (Kreis)",https://www.adzuna.de/land/ad/4568519144?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=213F0285EB3F397DB2990B118157D2CD3CF98339,2024-02-14 13:37:49+00:00,"Du machst den Unterschied. Ob im Business Audit & Assurance, Risk Advisory, Tax & Legal, Financial Advisory oder Consulting: Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make? Du willst mit einem 3-jährigen dualen Studium den Grundstein für deine Karriere legen und vollwertiges Teammitglied …",Unknown,Adzuna
Publicis Sapient,Manager Data Science - German speaker,"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4563952427?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=04B159A3222721FC52D83F69FF628F97A98BD08F,2024-02-09 16:15:15+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of business intelligence, advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for Data Science work, focusing on how the customer experience and understanding can be improved to ultimately help our client's business growth. As an evangelist for Analytics, you will partner with leaders in various divi…",Stellen für Hochschulabsolventen,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Altstadt-Lehel, München",https://www.adzuna.de/land/ad/4563952398?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=A622BC8F1FEBCDC8C4C2DB429FA7B7B0FDA1C9D4,2024-02-09 16:15:12+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Stellen für Hochschulabsolventen,Adzuna
Telefónica Deutschland,Duales Studium Data Science und Scientific Computing (B.Sc.) in München (m/w/d),"Moosach, München",https://www.adzuna.de/land/ad/4553518727?se=ACgGTKDM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=B5D03B77A513CC8CD2FAF1ED5EB08387521F5768,2024-02-01 21:00:37+00:00,Wer wir sind Wir sind O2 Telefónica – mit unseren Mobilfunkmarken verbinden wir Millionen von Menschen und bieten unserer Kundschaft mobile Freiheit in der digitalen Welt. Darüber hinaus gestalten wir als führender Telekommunikationsanbieter maßgeblich die Digitalisierung in Deutschland mit. Unsere rund 7.400 Mitarbeiter:innen hierzulande treiben die Transformation jeden Tag ein Stück voran – auch in unserem eigenen Unternehmen. Telefónica zählt zu den Top-Arbeitgebern in Deutschland und ist Te…,Stellen für Hochschulabsolventen,Adzuna
