Job Title,Company Name,Location,Publication Date,Categories,Experience Level,Job Link,Full/Part Time
Senior IT Enterprise Architect (w/m/d),Siemens,"Berlin, Germany",2023-05-16T23:40:22Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/senior-it-enterprise-architect-wmd-7d9818,
Fahrleitungsmonteur (w/m/d) Fahrleitungs- und Stromversorgungsanlagen,Siemens,"Berlin, Germany",2023-01-24T00:42:10Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fahrleitungsmonteur-wmd-fahrleitungs-und-stromversorgungsanlagen-2bf1c8,
(Junior) Business Analyst (f/m/d),Siemens,"Flexible / Remote, Warsaw, Poland",2023-05-18T23:39:44Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/junior-business-analyst-fmd,Full-time
Lead Data Science Engineer - Remote US,Siemens,"Chicago, IL, Flexible / Remote",2023-05-16T23:40:21Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/lead-data-science-engineer-remote-us,Full-time
IT Operations Analyst (w/m/d) Firewall,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-wmd-firewall-164652,Full-time
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-aa8147,
Werkstudent*in (w/m/d) Data Handling / Data Analytics,Siemens,"Frankfurt, Germany",2023-06-01T23:45:19Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-data-handling-data-analytics,
IT Internal Controls and SOX Compliance Manager,Circle,Flexible / Remote,2023-11-22T23:02:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/it-internal-controls-and-sox-compliance-manager-d60661,
Digital Sales Operations IT Systems,Siemens,"Flexible / Remote, St. Louis, MO",2023-04-27T23:37:04Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/digital-sales-operations-it-systems-aad717,Full-time
Special Engineer (w/m/d) IT Key-Developer WMS Lösungen in C# und SQL Server,Siemens,"Stuttgart, Germany",2023-03-21T00:02:11Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/special-engineer-wmd-it-keydeveloper-wms-losungen-in-c-und-sql-server-1678dd,Full-time
Werkstudent*in (w/m/d) IT / Informatik - eMobility,Siemens,"Berlin, Germany",2023-05-09T23:40:12Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-it-informatik-emobility-1344c7,
Pflichtpraktikant*in (w/m/d) / Abschlussarbeit (Bachelor / Master): Use Cases für autonome Inspektionen,Siemens,"Karlsruhe, Germany",2023-04-27T23:36:49Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/pflichtpraktikantin-wmd-abschlussarbeit-bachelor-master-use-cases-fur-autonome-inspektionen,
Teamassistenz (w/m/d),Siemens,"Berlin, Germany",2023-01-31T23:40:12Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/teamassistenz-wmd-21d505,Full-time
Senior Consultant (w/m/d) P&O IT Germany,Siemens,"Munich, Germany",2023-03-24T23:48:00Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/senior-consultant-wmd-po-it-germany,Either
Solution Architect (XHQ),Siemens,"Flexible / Remote, Rio de Janeiro, Brazil",2023-05-12T23:42:51Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/solution-architect-xhq-c40100,Full-time
(Senior) Consultant in Advanced Analytics & Artificial Intelligence (f/m/d),Siemens,"Munich, Germany",2023-06-01T23:45:20Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/senior-consultant-in-advanced-analytics-artificial-intelligence-fmd,Full-time
PCB Electronic Data Management (EDM) & PLM Consultant (Remote),Siemens,"Flexible / Remote, Portland, OR",2023-05-31T23:46:49Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/pcb-electronic-data-management-edm-plm-consultant-remote,Full-time
Ingenieur (w/m/d) Automatisierung und Digitalisierung,Siemens,"Karlsruhe, Germany",2023-03-21T23:47:22Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/ingenieur-wmd-automatisierung-und-digitalisierung-f66c28,Full-time
IT Architect (w/m/d) Service & Integration,Siemens,"Berlin, Germany",2023-04-28T23:39:08Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-architect-wmd-service-integration-d11c46,
IT Operations Analyst (w/m/d) DNS / Secure Mail,Siemens,"Munich, Germany",2023-01-28T23:37:48Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-operations-analyst-wmd-dns-secure-mail,
Pflichtpraktikant*in (w/m/d) / Abschlussarbeit (Bachelor / Master): Use Cases für autonome Inspektionen,Siemens,"Karlsruhe, Germany",2023-04-27T23:36:49Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/pflichtpraktikantin-wmd-abschlussarbeit-bachelor-master-use-cases-fur-autonome-inspektionen-d85c91,Full-time
"Head of Compliance, France",Circle,"Flexible / Remote, Paris, France",2024-01-24T23:01:58Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/head-of-compliance-france,
Projektleiter (m/w/d) Vorfeldentwicklung für Process Automation,Siemens,"Karlsruhe, Germany",2023-04-29T23:35:09Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/projektleiter-mwd-vorfeldentwicklung-fur-process-automation,Full-time
Solution Architect (XHQ),Siemens,"Flexible / Remote, Houston, TX",2023-05-12T23:42:51Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/siemens/solution-architect-xhq-a67f53,Full-time
Projektbearbeitung (w/m/d) Mittelspannungs- und Niederspannungsschaltanlagen,Siemens,"Frankfurt, Germany",2023-03-16T23:48:19Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/projektbearbeitung-wmd-mittelspannungs-und-niederspannungsschaltanlagen-083fc4,Full-time
IT Partner Professional (f/m/d),Siemens,"Flexible / Remote, Warsaw, Poland",2023-06-01T23:45:19Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/it-partner-professional-fmd,Full-time
Junior Embedded-Softwareentwickler (w/m/d) für Produkte der Niederspannungstechnik,Siemens,"Berlin, Germany",2023-04-13T23:42:41Z,Computer and IT,Entry Level,https://www.themuse.com/jobs/siemens/junior-embeddedsoftwareentwickler-wmd-fur-produkte-der-niederspannungstechnik-9ac30f,Full-time
JIRA/Confluence Application Manager (f/m/diverse) bei der evosoft GmbH,Siemens,"Munich, Germany",2022-12-23T23:34:14Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/jiraconfluence-application-manager-fmdiverse-bei-der-evosoft-gmbh-dd9a18,
Support Quality Analyst,Samsara Inc.,Flexible / Remote,2024-01-27T10:18:34Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/samsarainc/support-quality-analyst-a04815,
