title,company,location,day_before_posts_de,day_before_posts_en,job_posted,link
Asset Manager (m/w/d) Schwerpunkt Data Science,MVV Netze GmbH,Mannheim,vor 6 Tagen,6 days ago,2024-02-13,https://www.stepstone.de/stellenangebote--Asset-Manager-m-w-d-Schwerpunkt-Data-Science-Mannheim-MVV-Netze-GmbH--10651162-inline.html
Bachelor of Science (B.Sc.) (m/w/d) Data Science und KI Start 2024 Standort Markdorf (VT/STAR),SAP SE,"Markdorf, DE, 88677",vor 6 Stunden,6 hours ago,2024-02-19,https://www.stepstone.de/stellenangebote--Bachelor-of-Science-B-Sc-m-w-d-Data-Science-und-KI-Start-2024-Standort-Markdorf-VT-STAR-Markdorf-DE-88677-SAP-SE--10371625-inline.html
Bachelor of Science (B.Sc.) (m/w/d) Data Science und KI Start 2024 Standort Walldorf (VT/STAR),SAP SE,"Walldorf, DE, 69190",vor 6 Stunden,6 hours ago,2024-02-19,https://www.stepstone.de/stellenangebote--Bachelor-of-Science-B-Sc-m-w-d-Data-Science-und-KI-Start-2024-Standort-Walldorf-VT-STAR-Walldorf-DE-69190-SAP-SE--10371624-inline.html
Duales Studium - Informatik mit Schwerpunkt Data Science (m/w/d),DAT Deutsche Automobil Treuhand GmbH,Ostfildern,vor 1 Tag,1 day ago,2024-02-18,https://www.stepstone.de/stellenangebote--Duales-Studium-Informatik-mit-Schwerpunkt-Data-Science-m-w-d-Ostfildern-DAT-Deutsche-Automobil-Treuhand-GmbH--10674150-inline.html
Werkstudent (m/w/d) Data Science,Süddeutsche Zeitung Digitale Medien GmbH,München,vor 2 Tagen,2 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Werkstudent-m-w-d-Data-Science-Muenchen-Sueddeutsche-Zeitung-Digitale-Medien-GmbH--10670427-inline.html
Duales Studium Data Science und Künstliche Intelligenz (B.Sc.),HARIBO Deutschland,Grafschaft bei Bonn,vor 2 Tagen,2 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-und-Kuenstliche-Intelligenz-B-Sc-Grafschaft-bei-Bonn-HARIBO-Deutschland--10372096-inline.html
Senior Full-stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator im Mercedes-Benz Management Consulting (w/m/d),Mercedes - Benz AG,Sindelfingen,vor 1 Woche,1 week ago,2024-02-12,https://www.stepstone.de/stellenangebote--Senior-Full-stack-Data-Analytics-Data-Science-Expert-im-Competence-Center-Digital-Accelerator-im-Mercedes-Benz-Management-Consulting-w-m-d-Sindelfingen-Mercedes-Benz-AG--10423358-inline.html
Lead Data Science & AI Solutions (m/w/d),AstraZeneca,Hamburg,vor 3 Tagen,3 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Lead-Data-Science-AI-Solutions-m-w-d-Hamburg-AstraZeneca--10750231-inline.html
Full-stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator im Mercedes-Benz Management Consulting (w/m/d),Mercedes - Benz AG,Sindelfingen,vor 1 Woche,1 week ago,2024-02-12,https://www.stepstone.de/stellenangebote--Full-stack-Data-Analytics-Data-Science-Expert-im-Competence-Center-Digital-Accelerator-im-Mercedes-Benz-Management-Consulting-w-m-d-Sindelfingen-Mercedes-Benz-AG--10726221-inline.html
Teamassistenz (m/w/d) am Munich Data Science Institute (MDSI),Technische Universität München,Garching bei München,vor 2 Tagen,2 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Teamassistenz-m-w-d-am-Munich-Data-Science-Institute-MDSI-Garching-bei-Muenchen-Technische-Universitaet-Muenchen--10738091-inline.html
Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich Informatik / Data Science & Analytics / KI / Naturwissenschaften,Hochschule Rosenheim,Rosenheim,vor 3 Tagen,3 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Wissenschaftlicher-Mitarbeiter-m-w-d-im-Bereich-Informatik-Data-Science-Analytics-KI-Naturwissenschaften-Rosenheim-Hochschule-Rosenheim--10747285-inline.html
Duales Studium Data Science & KI – Simulationsmethoden – Start 01.10.2024,"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut, EMI",Efringen-Kirchen,vor 3 Tagen,3 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-KI-Simulationsmethoden-Start-01-10-2024-Efringen-Kirchen-Fraunhofer-Institut-fuer-Kurzzeitdynamik-Ernst-Mach-Institut-EMI--10665210-inline.html
Duales Studium Data Science und Scientific Computing (B.Sc.) in München (m/w/d),O2 Telefónica,"München, Mannheim",vor 3 Tagen,3 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-und-Scientific-Computing-B-Sc-in-Muenchen-m-w-d-Muenchen-Mannheim-O2-Telefonica--10743411-inline.html
Wissenschaftlicher Berater für Data Science im Bereich Mobilität (d/m/w),VDI/VDE Innovation + Technik GmbH,"Berlin, Bonn, Hannover",vor 4 Tagen,4 days ago,2024-02-15,https://www.stepstone.de/stellenangebote--Wissenschaftlicher-Berater-fuer-Data-Science-im-Bereich-Mobilitaet-d-m-w-Berlin-Bonn-Hannover-VDI-VDE-Innovation-Technik-GmbH--10559245-inline.html
