title,company,location,day_before_posts_de,day_before_posts_en,job_posted,link
2024 Intern - Data Science,Adobe Systems Europe Limited,"Hamburg, Hamburg, Germany",vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--2024-Intern-Data-Science-Hamburg-Hamburg-Germany-Adobe-Systems-Europe-Limited--10372013-inline.html
Data Science Graduate Program,Bertelsmann SE & Co. KGaA,Gütersloh,vor 20 Stunden,20 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Data-Science-Graduate-Program-Guetersloh-Bertelsmann-SE-Co-KGaA--10692274-inline.html
Duales Studium Softwaretechnologie B. Sc. - Fachrichtungen Data Science IT-Security (m/w/d) zum 15. August 2024,Stadtverwaltung Bad Homburg v. d. Höhe,Bad Homburg vor der Höhe,vor 7 Stunden,7 hours ago,2024-02-21,https://www.stepstone.de/stellenangebote--Duales-Studium-Softwaretechnologie-B-Sc-Fachrichtungen-Data-Science-IT-Security-m-w-d-zum-15-August-2024-Bad-Homburg-vor-der-Hoehe-Stadtverwaltung-Bad-Homburg-v-d-Hoehe--10764790-inline.html
Asset Manager (m/w/d) Schwerpunkt Data Science,MVV Netze GmbH,Mannheim,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Asset-Manager-m-w-d-Schwerpunkt-Data-Science-Mannheim-MVV-Netze-GmbH--10651162-inline.html
Praktikum (d/m/w) Data Science / Analytics,General Reinsurance AG,Köln,vor 16 Stunden,16 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Praktikum-d-m-w-Data-Science-Analytics-Koeln-General-Reinsurance-AG--10692568-inline.html
Consultant | Data Science | Corporate & Growth Strategy (m/w/d),EY-Parthenon GmbH,"Berlin, Düsseldorf, Hamburg, München",vor 17 Stunden,17 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Consultant-Data-Science-Corporate-Growth-Strategy-m-w-d-Berlin-Duesseldorf-Hamburg-Muenchen-EY-Parthenon-GmbH--9933745-inline.html
Associate Consultant | Data Science | Corporate & Growth Strategy (m/w/d),EY-Parthenon GmbH,"Berlin, Düsseldorf, Hamburg, München",vor 17 Stunden,17 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Associate-Consultant-Data-Science-Corporate-Growth-Strategy-m-w-d-Berlin-Duesseldorf-Hamburg-Muenchen-EY-Parthenon-GmbH--10027288-inline.html
Duales Studium KI und Data Science für den Bereich Digital Strategy & Operations (w|m|d),ADAC,Lörrach,vor 19 Stunden,19 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Duales-Studium-KI-und-Data-Science-fuer-den-Bereich-Digital-Strategy-Operations-wmd-Loerrach-ADAC--10085486-inline.html
Duales Studium Data Science und künstliche Intelligenz (m/w/d),SEAT Deutschland GmbH,Weiterstadt,vor 20 Stunden,20 hours ago,2024-02-20,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-und-kuenstliche-Intelligenz-m-w-d-Weiterstadt-SEAT-Deutschland-GmbH--10689840-inline.html
Duales Studium Data Science Bachelor of Science 2024 (w/m/d),PwC,"Düsseldorf,Frankfurt ,Mannheim,Berlin,Leipzig,München",vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-Bachelor-of-Science-2024-w-m-d-Duesseldorf-Frankfurt-Mannheim-Berlin-Leipzig-Muenchen-PwC--10760192-inline.html
W2-Professur Fachgebiet Data Science und Informatik,Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--W2-Professur-Fachgebiet-Data-Science-und-Informatik-Karlsruhe-Hochschule-Karlsruhe-Technik-und-Wirtschaft--10760271-inline.html
Duales Studium Data Science Bachelor of Science 2024 (w/m/d),PwC,"Berlin, Düsseldorf, Frankfurt a. M., Leipzig, Mannheim, München",vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-Bachelor-of-Science-2024-w-m-d-Berlin-Duesseldorf-Frankfurt-a-M-Leipzig-Mannheim-Muenchen-PwC--10762330-inline.html
Internship at Full Stack Data Science at Customer Preferences & Vehicle Recommendations from April/May 2024,Mercedes - Benz AG,Stuttgart,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Internship-at-Full-Stack-Data-Science-at-Customer-Preferences-Vehicle-Recommendations-from-April-May-2024-Stuttgart-Mercedes-Benz-AG--10763259-inline.html
Full Stack Data Science Praktikum ab April/Mai 2024 bei Customer Preferences & Vehicle Recommendations,Mercedes - Benz AG,Stuttgart,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Full-Stack-Data-Science-Praktikum-ab-April-Mai-2024-bei-Customer-Preferences-Vehicle-Recommendations-Stuttgart-Mercedes-Benz-AG--10763257-inline.html
Bachelor of Science (B.Sc.) (m/w/d) Data Science und KI Start 2024 Standort Walldorf (VT/STAR),SAP SE,"Walldorf, DE, 69190",vor 2 Tagen,2 days ago,2024-02-19,https://www.stepstone.de/stellenangebote--Bachelor-of-Science-B-Sc-m-w-d-Data-Science-und-KI-Start-2024-Standort-Walldorf-VT-STAR-Walldorf-DE-69190-SAP-SE--10371624-inline.html
Bachelor of Science (B.Sc.) (m/w/d) Data Science und KI Start 2024 Standort Markdorf (VT/STAR),SAP SE,"Markdorf, DE, 88677",vor 2 Tagen,2 days ago,2024-02-19,https://www.stepstone.de/stellenangebote--Bachelor-of-Science-B-Sc-m-w-d-Data-Science-und-KI-Start-2024-Standort-Markdorf-VT-STAR-Markdorf-DE-88677-SAP-SE--10371625-inline.html
Duales Studium - Informatik mit Schwerpunkt Data Science (m/w/d),DAT Deutsche Automobil Treuhand GmbH,Ostfildern,vor 3 Tagen,3 days ago,2024-02-18,https://www.stepstone.de/stellenangebote--Duales-Studium-Informatik-mit-Schwerpunkt-Data-Science-m-w-d-Ostfildern-DAT-Deutsche-Automobil-Treuhand-GmbH--10674150-inline.html
Werkstudent (m/w/d) Data Science,Süddeutsche Zeitung Digitale Medien GmbH,München,vor 4 Tagen,4 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Werkstudent-m-w-d-Data-Science-Muenchen-Sueddeutsche-Zeitung-Digitale-Medien-GmbH--10670427-inline.html
Duales Studium Data Science und Künstliche Intelligenz (B.Sc.),HARIBO Deutschland,Grafschaft bei Bonn,vor 5 Tagen,5 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-und-Kuenstliche-Intelligenz-B-Sc-Grafschaft-bei-Bonn-HARIBO-Deutschland--10372096-inline.html
Teamassistenz (m/w/d) am Munich Data Science Institute (MDSI),Technische Universität München,Garching bei München,vor 4 Tagen,4 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Teamassistenz-m-w-d-am-Munich-Data-Science-Institute-MDSI-Garching-bei-Muenchen-Technische-Universitaet-Muenchen--10738091-inline.html
Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich Informatik / Data Science & Analytics / KI / Naturwissenschaften,Hochschule Rosenheim,Rosenheim,vor 5 Tagen,5 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Wissenschaftlicher-Mitarbeiter-m-w-d-im-Bereich-Informatik-Data-Science-Analytics-KI-Naturwissenschaften-Rosenheim-Hochschule-Rosenheim--10747285-inline.html
Lead Data Science & AI Solutions (m/w/d),AstraZeneca,Hamburg,vor 5 Tagen,5 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Lead-Data-Science-AI-Solutions-m-w-d-Hamburg-AstraZeneca--10750231-inline.html
Duales Studium Data Science & KI – Simulationsmethoden – Start 01.10.2024,"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut, EMI",Efringen-Kirchen,vor 5 Tagen,5 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-KI-Simulationsmethoden-Start-01-10-2024-Efringen-Kirchen-Fraunhofer-Institut-fuer-Kurzzeitdynamik-Ernst-Mach-Institut-EMI--10665210-inline.html
Wissenschaftlicher Berater für Data Science im Bereich Mobilität (d/m/w),VDI/VDE Innovation + Technik GmbH,"Berlin, Bonn, Hannover",vor 6 Tagen,6 days ago,2024-02-15,https://www.stepstone.de/stellenangebote--Wissenschaftlicher-Berater-fuer-Data-Science-im-Bereich-Mobilitaet-d-m-w-Berlin-Bonn-Hannover-VDI-VDE-Innovation-Technik-GmbH--10559245-inline.html
Duales Studium Data Science und Scientific Computing (B.Sc.) in München (m/w/d),O2 Telefónica,"München, Mannheim",vor 5 Tagen,5 days ago,2024-02-16,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-und-Scientific-Computing-B-Sc-in-Muenchen-m-w-d-Muenchen-Mannheim-O2-Telefonica--10743411-inline.html
Head of Data Science/Business Intelligence (m/w/d),amedes Medizinische Dienstleistungen GmbH,Hamburg,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Head-of-Data-Science-Business-Intelligence-m-w-d-Hamburg-amedes-Medizinische-Dienstleistungen-GmbH--10738290-inline.html
Duales Studium Wirtschaftsinformatik Data Science (B.Sc.) - Start Oktober 2024 (m/w/d),RSM Ebner Stolz,Stuttgart,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-Data-Science-B-Sc-Start-Oktober-2024-m-w-d-Stuttgart-RSM-Ebner-Stolz--10736136-inline.html
PreMaster Programm - Data Science / Data Analyst,Bosch Gruppe,Stuttgart,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--PreMaster-Programm-Data-Science-Data-Analyst-Stuttgart-Bosch-Gruppe--9481966-inline.html
Duales Studium Wirtschaftsinformatik Data Science (B.Sc.),HARIBO Deutschland,Grafschaft,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-Data-Science-B-Sc-Grafschaft-HARIBO-Deutschland--10730796-inline.html
EY-Parthenon Associate Consultant - Data Science - Corporate & Growth Strategy (w/m/d),Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Hamburg, Düsseldorf, München, Berlin",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--EY-Parthenon-Associate-Consultant-Data-Science-Corporate-Growth-Strategy-w-m-d-Hamburg-Duesseldorf-Muenchen-Berlin-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--10730689-inline.html
EY-Parthenon Praktikant - Data Science - Corporate & Growth Strategy (w/m/d),Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Düsseldorf, Berlin, Hamburg, München, Zürich, Basel, Genf, Wien",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--EY-Parthenon-Praktikant-Data-Science-Corporate-Growth-Strategy-w-m-d-Duesseldorf-Berlin-Hamburg-Muenchen-Zuerich-Basel-Genf-Wien-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--10730682-inline.html
EY-Parthenon Consultant - Data Science - Corporate & Growth Strategy (w/m/d),Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,"Düsseldorf, Hamburg, München, Berlin",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--EY-Parthenon-Consultant-Data-Science-Corporate-Growth-Strategy-w-m-d-Duesseldorf-Hamburg-Muenchen-Berlin-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--10730599-inline.html
Dualen Studenten (m/w/d) Wirtschaftsinformatik - Data Science und KI,Kassenärztliche Vereinigung Baden-Württemberg,"Stuttgart, Freiburg, Lörrach",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Dualen-Studenten-m-w-d-Wirtschaftsinformatik-Data-Science-und-KI-Stuttgart-Freiburg-Loerrach-Kassenaerztliche-Vereinigung-Baden-Wuerttemberg--10729908-inline.html
Werkstudent (m/w/d) – Risikomanagement / Data Science,Sparkassen Rating und Risikosysteme GmbH,Berlin,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Werkstudent-m-w-d-Risikomanagement-Data-Science-Berlin-Sparkassen-Rating-und-Risikosysteme-GmbH--9579904-inline.html
Praktikant Data Science (m/w/d),Kaufland,Heilbronn,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Praktikant-Data-Science-m-w-d-Heilbronn-Kaufland--9418339-inline.html
Full-stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator im Mercedes-Benz Management Consulting (w/m/d),Mercedes - Benz AG,Sindelfingen,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Full-stack-Data-Analytics-Data-Science-Expert-im-Competence-Center-Digital-Accelerator-im-Mercedes-Benz-Management-Consulting-w-m-d-Sindelfingen-Mercedes-Benz-AG--10726221-inline.html
Senior Full-stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator im Mercedes-Benz Management Consulting (w/m/d),Mercedes - Benz AG,Sindelfingen,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Senior-Full-stack-Data-Analytics-Data-Science-Expert-im-Competence-Center-Digital-Accelerator-im-Mercedes-Benz-Management-Consulting-w-m-d-Sindelfingen-Mercedes-Benz-AG--10423358-inline.html
Praktikant Data Science im Bereich prüfungsnahe Beratung / Quants (Financial Services) (w/m/d),Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Frankfurt/Main,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Praktikant-Data-Science-im-Bereich-pruefungsnahe-Beratung-Quants-Financial-Services-w-m-d-Frankfurt-Main-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--9821795-inline.html
Duales Studium - Data Science (B.Sc.),Vitesco Technologies Group AG,Nürnberg,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-B-Sc-Nuernberg-Vitesco-Technologies-Group-AG--10639402-inline.html
Duales Studium M.Sc. (m/w/d) Data Science - WS 2024,tesa SE,"Hamburg, Norderstedt",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-M-Sc-m-w-d-Data-Science-WS-2024-Hamburg-Norderstedt-tesa-SE--10122494-inline.html
Duales Studium (DHBW) - Data Science und künstliche Intelligenz (m/w/d) 2024,Schaeffler Technologies AG & Co. KG,Herzogenaurach,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-DHBW-Data-Science-und-kuenstliche-Intelligenz-m-w-d-2024-Herzogenaurach-Schaeffler-Technologies-AG-Co-KG--10632609-inline.html
Werkstudent Data Science – Schwerpunkt E-Mobility (w/m/d),Hamburger Hochbahn AG,Hamburg,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Werkstudent-Data-Science-Schwerpunkt-E-Mobility-w-m-d-Hamburg-Hamburger-Hochbahn-AG--10628339-inline.html
Data Science /Algorithmen-Entwickler in der Logistik / Supply Chain Optimierung (m/w/d)  - vor Ort oder hybrid,AUEL EDV-Beratung GmbH,Braunschweig,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Data-Science-Algorithmen-Entwickler-in-der-Logistik-Supply-Chain-Optimierung-m-w-d-vor-Ort-oder-hybrid-Braunschweig-AUEL-EDV-Beratung-GmbH--4006277-inline.html
Intern Data Science & AI (m/f/d),ProSiebenSat.1 Careers,München,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Intern-Data-Science-AI-m-f-d-Muenchen-ProSiebenSat-1-Careers--10622968-inline.html
Internship Surgical Data Science in Advanced Development (f/m/x),ZEISS,Oberkochen (Baden-Württemberg),vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Internship-Surgical-Data-Science-in-Advanced-Development-f-m-x-Oberkochen-Baden-Wuerttemberg-ZEISS--10718696-inline.html
Duales BA-Studium Wirtschaftsinformatik Data Science & KI (m/w/d),Publicis Media GmbH,Düsseldorf,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-BA-Studium-Wirtschaftsinformatik-Data-Science-KI-m-w-d-Duesseldorf-Publicis-Media-GmbH--10483182-inline.html
